DATE,TIME,WSPD,GST
29/11/2025,00:05,15.5,16.7
29/11/2025,00:10,16.0,20.3
29/11/2025,00:15,19.1,19.5
29/11/2025,00:20,18.1,19.7
29/11/2025,00:25,17.8,0.0
29/11/2025,00:30,16.4,0.0
29/11/2025,00:35,16.3,0.0
29/11/2025,00:40,17.0,0.0
29/11/2025,00:45,18.6,0.0
29/11/2025,00:50,15.9,0.0
29/11/2025,00:55,16.0,16.7
29/11/2025,01:05,18.3,18.8
29/11/2025,01:10,0.0,0.0
29/11/2025,01:15,6.7,0.0
29/11/2025,01:20,17.5,0.0
29/11/2025,01:25,22.5,0.0
29/11/2025,01:30,21.3,21.6
29/11/2025,01:35,16.8,19.4
29/11/2025,01:40,16.3,20.5
29/11/2025,01:45,14.4,16.4
29/11/2025,01:50,12.8,17.1
29/11/2025,02:00,15.1,16.0
29/11/2025,02:05,18.0,18.8
29/11/2025,02:10,17.4,0.0
29/11/2025,02:15,12.6,0.0
29/11/2025,02:20,15.6,0.0
29/11/2025,02:30,0.0,0.0
29/11/2025,02:35,16.8,17.8
29/11/2025,02:40,20.0,21.4
29/11/2025,02:45,15.9,16.1
29/11/2025,02:50,14.1,14.6
29/11/2025,02:55,15.9,0.0
29/11/2025,03:00,10.8,18.5
29/11/2025,03:05,9.4,0.0
29/11/2025,03:10,16.4,17.6
29/11/2025,03:15,15.5,16.3
29/11/2025,03:20,4.7,14.4
29/11/2025,03:25,15.1,0.0
29/11/2025,03:30,19.0,0.0
29/11/2025,03:35,20.1,24.2
29/11/2025,03:45,17.4,18.4
29/11/2025,03:50,19.3,21.0
29/11/2025,03:55,19.9,22.2
29/11/2025,04:00,20.3,26.8
29/11/2025,04:05,15.9,17.4
29/11/2025,04:10,21.1,24.0
29/11/2025,04:15,17.4,18.5
29/11/2025,04:20,5.4,18.0
29/11/2025,04:30,0.0,0.0
29/11/2025,04:35,14.3,19.1
29/11/2025,04:40,20.2,21.1
29/11/2025,04:45,19.4,19.8
29/11/2025,04:50,17.9,20.4
29/11/2025,04:55,17.8,22.9
29/11/2025,05:00,18.6,24.2
29/11/2025,05:20,16.5,21.3
29/11/2025,05:25,18.6,21.8
29/11/2025,05:30,17.9,20.0
29/11/2025,05:40,20.3,23.8
29/11/2025,05:45,23.4,29.1
29/11/2025,05:50,21.1,26.6
29/11/2025,05:55,17.1,21.0
29/11/2025,06:00,19.5,23.2
29/11/2025,06:05,19.7,24.6
29/11/2025,06:10,17.7,20.6
29/11/2025,06:15,21.6,28.3
29/11/2025,06:20,20.2,25.7
29/11/2025,06:25,18.7,22.0
29/11/2025,06:30,18.0,22.2
29/11/2025,06:35,17.6,21.2
29/11/2025,06:40,20.5,23.1
29/11/2025,06:45,19.7,22.3
29/11/2025,06:50,20.9,24.1
29/11/2025,06:55,21.0,21.9
29/11/2025,07:00,19.9,26.2
29/11/2025,07:05,20.0,24.9
29/11/2025,07:10,20.2,24.4
29/11/2025,07:15,18.8,21.3
29/11/2025,07:20,19.5,22.5
29/11/2025,07:25,19.1,20.5
29/11/2025,07:30,16.8,18.8
29/11/2025,07:35,18.5,19.4
29/11/2025,07:40,20.1,24.1
29/11/2025,07:45,18.2,22.3
29/11/2025,07:50,23.7,25.8
29/11/2025,07:55,18.9,24.0
29/11/2025,08:00,18.6,23.9
29/11/2025,08:05,20.0,26.2
29/11/2025,08:10,15.2,22.9
29/11/2025,08:15,18.3,23.7
29/11/2025,08:20,17.3,20.1
29/11/2025,08:25,19.7,24.0
29/11/2025,08:30,22.1,27.6
29/11/2025,08:35,19.0,24.5
29/11/2025,08:40,21.9,26.9
29/11/2025,08:45,17.9,22.6
29/11/2025,08:50,20.1,24.1
29/11/2025,08:55,22.1,27.3
29/11/2025,09:00,18.3,21.7
29/11/2025,09:05,26.9,0.0
29/11/2025,09:10,24.8,29.4
29/11/2025,09:15,24.8,26.6
29/11/2025,09:20,19.1,20.5
29/11/2025,09:25,27.2,28.2
29/11/2025,09:30,26.3,31.7
29/11/2025,09:35,22.8,28.7
29/11/2025,09:40,21.1,23.2
29/11/2025,09:45,23.4,26.2
29/11/2025,09:50,22.1,29.5
29/11/2025,09:55,26.0,29.2
29/11/2025,10:00,22.6,31.5
29/11/2025,10:05,21.9,25.0
29/11/2025,10:10,21.3,25.7
29/11/2025,10:15,23.8,26.4
29/11/2025,10:20,23.5,29.1
29/11/2025,10:25,26.9,30.5
29/11/2025,10:30,24.4,27.8
29/11/2025,10:35,21.6,25.5
29/11/2025,10:40,22.3,25.3
29/11/2025,10:45,21.8,24.4
29/11/2025,10:50,22.4,23.9
29/11/2025,10:55,21.7,25.0
29/11/2025,11:00,21.3,24.4
29/11/2025,11:05,20.7,22.0
29/11/2025,11:10,19.7,20.4
29/11/2025,11:15,18.2,19.0
29/11/2025,11:20,19.3,0.0
29/11/2025,11:25,0.0,0.0
29/11/2025,11:30,0.0,0.0
29/11/2025,11:35,0.0,0.0
29/11/2025,11:40,0.0,0.0
29/11/2025,11:45,0.0,0.0
29/11/2025,11:50,19.4,21.1
29/11/2025,11:55,17.6,18.4
29/11/2025,12:00,7.5,15.3
29/11/2025,12:05,16.7,17.6
29/11/2025,12:10,0.0,0.0
29/11/2025,12:15,14.5,16.4
29/11/2025,12:20,7.1,0.0
29/11/2025,12:25,15.6,17.2
29/11/2025,12:30,0.0,0.0
29/11/2025,12:35,15.6,16.1
29/11/2025,12:40,13.7,15.4
29/11/2025,12:45,15.0,16.0
29/11/2025,12:50,15.9,16.7
29/11/2025,12:55,13.7,15.8
29/11/2025,13:00,15.3,18.7
29/11/2025,13:05,11.4,12.4
29/11/2025,13:10,17.8,19.1
29/11/2025,13:15,16.0,0.0
29/11/2025,13:20,8.6,0.0
29/11/2025,13:25,10.9,18.1
29/11/2025,13:30,15.3,17.2
29/11/2025,13:35,4.3,0.0
29/11/2025,13:40,18.6,19.8
29/11/2025,13:45,0.0,0.0
29/11/2025,13:50,0.0,0.0
29/11/2025,13:55,14.2,14.9
29/11/2025,14:00,0.0,0.0
29/11/2025,14:05,0.0,0.0
29/11/2025,14:10,20.3,19.4
29/11/2025,14:15,14.7,16.3
29/11/2025,14:20,9.5,14.7
29/11/2025,14:25,9.3,15.8
29/11/2025,14:30,9.9,0.0
29/11/2025,14:35,11.5,16.8
29/11/2025,14:40,14.1,14.9
29/11/2025,14:45,12.3,0.0
29/11/2025,14:50,12.0,0.0
29/11/2025,14:55,11.3,11.3
29/11/2025,15:00,10.8,13.1
29/11/2025,15:05,7.7,10.9
29/11/2025,15:10,9.9,12.1
29/11/2025,15:15,5.8,0.0
29/11/2025,15:20,9.5,9.7
29/11/2025,15:25,0.0,0.0
29/11/2025,15:30,10.2,0.0
29/11/2025,15:35,0.0,0.0
29/11/2025,15:40,0.0,0.0
29/11/2025,15:45,8.9,0.0
29/11/2025,15:50,7.5,0.0
29/11/2025,16:00,10.0,10.8
29/11/2025,16:05,10.0,11.3
29/11/2025,16:10,9.9,10.5
29/11/2025,16:15,9.6,10.4
29/11/2025,16:20,9.4,11.1
29/11/2025,16:25,9.8,11.0
29/11/2025,16:30,9.5,11.1
29/11/2025,16:35,9.3,10.6
29/11/2025,16:40,9.9,11.5
29/11/2025,16:45,10.0,11.0
29/11/2025,16:50,9.9,12.1
29/11/2025,16:55,10.3,13.3
29/11/2025,17:00,11.5,12.3
29/11/2025,17:05,13.5,16.0
29/11/2025,17:10,14.8,18.3
29/11/2025,17:15,14.0,15.1
29/11/2025,17:20,12.3,13.8
29/11/2025,17:25,10.1,12.9
29/11/2025,17:30,11.4,12.1
29/11/2025,17:35,11.3,12.4
29/11/2025,17:40,12.3,12.9
29/11/2025,17:45,12.4,13.9
29/11/2025,17:50,11.9,14.2
29/11/2025,17:55,12.3,13.3
29/11/2025,18:00,13.6,14.8
29/11/2025,18:05,13.0,16.1
29/11/2025,18:10,12.8,14.8
29/11/2025,18:15,13.7,15.2
29/11/2025,18:20,14.6,14.8
29/11/2025,18:25,14.3,14.7
29/11/2025,18:30,16.0,0.0
29/11/2025,18:35,13.5,0.0
29/11/2025,18:40,0.0,0.0
29/11/2025,18:45,12.1,0.0
29/11/2025,18:50,13.5,13.9
29/11/2025,18:55,8.0,0.0
29/11/2025,19:00,12.4,0.0
29/11/2025,19:05,11.5,12.2
29/11/2025,19:10,13.5,0.0
29/11/2025,19:15,12.7,13.6
29/11/2025,19:20,14.9,15.8
29/11/2025,19:25,13.6,14.1
29/11/2025,19:30,15.2,16.1
29/11/2025,19:35,12.0,13.6
29/11/2025,19:40,14.9,16.9
29/11/2025,19:45,14.2,15.9
29/11/2025,19:50,13.1,14.1
29/11/2025,19:55,12.7,0.0
29/11/2025,20:00,4.7,15.8
29/11/2025,20:05,12.9,18.6
29/11/2025,20:10,5.3,0.0
29/11/2025,20:15,16.6,0.0
29/11/2025,20:20,10.5,18.4
29/11/2025,20:30,5.0,15.9
29/11/2025,20:35,15.2,16.2
29/11/2025,20:40,8.0,17.6
29/11/2025,20:45,16.1,19.1
29/11/2025,20:50,11.3,18.3
29/11/2025,20:55,0.0,0.0
29/11/2025,21:00,14.9,16.1
29/11/2025,21:05,14.5,16.9
29/11/2025,21:10,8.4,17.8
29/11/2025,21:15,15.1,15.4
29/11/2025,21:20,4.4,15.0
29/11/2025,21:25,14.0,15.3
29/11/2025,21:30,14.3,15.2
29/11/2025,21:35,13.1,14.6
29/11/2025,21:40,13.6,16.5
29/11/2025,21:45,12.1,13.8
29/11/2025,21:50,8.8,15.6
29/11/2025,21:55,14.6,14.9
29/11/2025,22:00,15.1,16.8
29/11/2025,22:05,14.0,14.3
29/11/2025,22:10,0.0,0.0
29/11/2025,22:15,4.8,14.8
29/11/2025,22:20,13.9,15.4
29/11/2025,22:25,14.1,16.3
29/11/2025,22:30,14.0,17.1
29/11/2025,22:35,0.0,0.0
29/11/2025,22:40,13.1,0.0
29/11/2025,22:45,13.2,15.0
29/11/2025,22:50,12.7,14.8
29/11/2025,22:55,11.1,0.0
29/11/2025,23:00,17.0,18.2
29/11/2025,23:05,13.3,14.3
29/11/2025,23:10,11.2,12.8
29/11/2025,23:15,12.4,13.7
29/11/2025,23:20,12.9,16.1
29/11/2025,23:25,13.2,15.0
29/11/2025,23:30,11.9,13.0
29/11/2025,23:35,12.3,13.3
29/11/2025,23:40,12.3,14.5
29/11/2025,23:45,11.3,14.6
29/11/2025,23:50,12.7,14.4
29/11/2025,23:55,0.0,0.0
