DATE,TIME,WSPD,GST
23/01/2026,00:05,10.6,11.3
23/01/2026,00:25,9.4,10.3
23/01/2026,00:45,9.1,9.8
23/01/2026,00:50,8.9,9.5
23/01/2026,01:05,11.0,11.6
23/01/2026,01:10,9.8,10.3
23/01/2026,01:15,11.4,12.6
23/01/2026,01:20,10.4,10.9
23/01/2026,01:30,9.4,10.0
23/01/2026,01:45,9.2,10.3
23/01/2026,01:50,10.7,12.0
23/01/2026,02:00,12.6,13.7
23/01/2026,02:35,14.7,16.7
23/01/2026,02:40,13.8,15.0
23/01/2026,03:15,17.4,19.3
23/01/2026,03:20,16.3,17.3
23/01/2026,03:25,17.6,19.9
23/01/2026,03:35,16.4,17.9
23/01/2026,03:50,17.4,19.3
23/01/2026,04:05,17.7,18.6
23/01/2026,04:20,19.1,22.4
23/01/2026,04:35,20.0,21.3
23/01/2026,04:40,21.0,24.9
23/01/2026,04:45,24.7,27.1
23/01/2026,04:55,22.0,24.1
23/01/2026,05:10,18.3,19.6
23/01/2026,05:25,20.4,24.0
23/01/2026,05:40,21.1,22.5
23/01/2026,05:45,21.7,25.9
23/01/2026,05:50,20.8,23.4
23/01/2026,05:55,25.9,28.3
23/01/2026,06:00,21.2,23.2
23/01/2026,06:05,26.5,29.1
23/01/2026,06:10,26.7,31.9
23/01/2026,06:15,26.8,29.9
23/01/2026,06:20,26.1,29.4
23/01/2026,06:25,22.0,24.2
23/01/2026,06:30,23.9,26.8
23/01/2026,06:35,25.8,29.4
23/01/2026,06:40,23.2,25.7
23/01/2026,06:45,25.9,27.1
23/01/2026,06:50,25.2,27.6
23/01/2026,06:55,30.7,32.5
23/01/2026,07:00,25.2,28.6
23/01/2026,07:05,25.0,27.1
23/01/2026,07:10,25.1,27.4
23/01/2026,07:15,22.8,25.2
23/01/2026,07:20,20.2,21.8
23/01/2026,07:25,24.2,26.3
23/01/2026,07:30,25.3,29.2
23/01/2026,07:35,25.1,30.1
23/01/2026,07:40,25.4,30.1
23/01/2026,07:45,25.3,32.1
23/01/2026,07:50,22.1,24.7
23/01/2026,07:55,23.6,25.9
23/01/2026,08:00,23.8,25.5
23/01/2026,08:05,19.1,21.6
23/01/2026,08:10,17.8,20.0
23/01/2026,08:15,20.9,23.0
23/01/2026,08:20,20.6,22.3
23/01/2026,08:25,19.0,21.4
23/01/2026,08:30,18.6,21.8
23/01/2026,08:35,21.8,25.7
23/01/2026,08:40,17.9,21.8
23/01/2026,08:45,20.7,24.0
23/01/2026,08:50,20.9,23.0
23/01/2026,08:55,18.9,22.1
23/01/2026,09:00,18.3,20.0
23/01/2026,09:05,17.2,18.6
23/01/2026,09:10,16.6,17.5
23/01/2026,09:15,21.2,24.9
23/01/2026,09:20,18.7,21.7
23/01/2026,09:25,18.3,19.4
23/01/2026,09:30,18.0,19.9
23/01/2026,09:35,18.8,20.5
23/01/2026,09:40,14.3,16.1
23/01/2026,09:45,17.2,19.0
23/01/2026,09:50,17.2,20.3
23/01/2026,09:55,18.8,21.5
23/01/2026,10:00,18.2,20.4
23/01/2026,10:05,16.1,18.7
23/01/2026,10:10,16.6,18.3
23/01/2026,10:15,17.4,20.8
23/01/2026,10:20,17.9,21.4
23/01/2026,10:25,18.7,21.8
23/01/2026,10:30,16.2,17.4
23/01/2026,10:35,13.9,15.0
23/01/2026,10:40,17.1,19.2
23/01/2026,10:45,15.9,18.0
23/01/2026,10:50,16.4,18.9
23/01/2026,10:55,17.9,19.4
23/01/2026,11:00,17.4,19.7
23/01/2026,11:05,18.5,19.8
23/01/2026,11:10,19.4,21.4
23/01/2026,11:15,19.5,23.5
23/01/2026,11:20,16.8,18.6
23/01/2026,11:25,20.1,23.1
23/01/2026,11:30,17.5,20.8
23/01/2026,11:35,17.9,22.0
23/01/2026,11:40,19.1,22.5
23/01/2026,11:45,19.4,22.0
23/01/2026,11:50,21.6,26.1
23/01/2026,11:55,19.0,21.5
23/01/2026,12:00,20.5,22.1
23/01/2026,12:05,21.2,25.4
23/01/2026,12:10,20.4,23.9
23/01/2026,12:15,19.0,20.9
23/01/2026,12:20,19.3,22.9
23/01/2026,12:25,20.7,22.1
23/01/2026,12:30,17.3,18.4
23/01/2026,12:35,17.9,19.6
23/01/2026,12:40,24.9,27.2
23/01/2026,12:45,22.1,24.7
23/01/2026,12:50,21.2,25.9
23/01/2026,12:55,20.4,24.3
23/01/2026,13:00,21.8,26.5
23/01/2026,13:05,20.4,23.8
23/01/2026,13:10,23.1,25.4
23/01/2026,13:15,21.3,22.8
23/01/2026,13:20,19.1,21.9
23/01/2026,13:25,19.9,22.3
23/01/2026,13:30,19.8,22.4
23/01/2026,13:35,20.7,22.0
23/01/2026,13:40,20.4,23.6
23/01/2026,13:45,20.5,23.0
23/01/2026,13:50,23.4,26.3
23/01/2026,13:55,20.3,22.9
23/01/2026,14:00,22.6,25.6
23/01/2026,14:05,26.6,28.5
23/01/2026,14:10,22.1,25.4
23/01/2026,14:15,20.0,23.2
23/01/2026,14:20,18.8,19.9
23/01/2026,14:25,20.2,23.4
23/01/2026,14:30,21.0,23.7
23/01/2026,14:35,17.0,18.8
23/01/2026,14:40,19.0,21.0
23/01/2026,14:45,17.0,19.9
23/01/2026,14:50,15.7,18.7
23/01/2026,14:55,16.4,17.4
23/01/2026,15:00,18.3,20.9
23/01/2026,15:05,17.2,18.3
23/01/2026,15:10,15.9,18.6
23/01/2026,15:15,19.3,22.5
23/01/2026,15:20,17.9,19.7
23/01/2026,15:25,19.1,21.5
23/01/2026,15:30,20.7,23.6
23/01/2026,15:35,18.3,19.3
23/01/2026,15:40,18.7,19.3
23/01/2026,15:45,18.6,20.4
23/01/2026,15:50,18.2,21.6
23/01/2026,15:55,18.7,22.1
23/01/2026,16:00,18.5,21.9
23/01/2026,16:05,21.5,23.6
23/01/2026,16:10,22.5,26.1
23/01/2026,16:15,21.2,23.9
23/01/2026,16:20,21.3,25.0
23/01/2026,16:25,20.4,23.9
23/01/2026,16:30,19.3,21.4
23/01/2026,16:35,22.0,23.6
23/01/2026,16:40,23.4,26.4
23/01/2026,16:45,22.4,25.2
23/01/2026,16:50,22.0,25.7
23/01/2026,16:55,17.3,20.7
23/01/2026,17:00,18.1,20.1
23/01/2026,17:05,17.2,18.2
23/01/2026,17:10,23.4,26.4
23/01/2026,17:15,21.8,25.5
23/01/2026,17:20,20.0,22.3
23/01/2026,17:25,19.6,23.9
23/01/2026,17:30,21.5,24.6
23/01/2026,17:35,24.0,27.1
23/01/2026,17:40,21.8,24.2
23/01/2026,17:45,20.2,23.2
23/01/2026,17:50,24.1,26.8
23/01/2026,17:55,23.1,26.9
23/01/2026,18:00,20.3,23.4
23/01/2026,18:05,21.4,23.2
23/01/2026,18:10,21.7,23.4
23/01/2026,18:15,23.5,25.4
23/01/2026,18:20,18.9,20.5
23/01/2026,18:25,23.6,27.6
23/01/2026,18:30,19.2,21.7
23/01/2026,18:35,22.2,24.2
23/01/2026,18:40,21.5,25.6
23/01/2026,18:45,21.1,23.5
23/01/2026,18:55,24.2,26.8
23/01/2026,19:00,23.7,25.8
23/01/2026,19:05,24.8,30.1
23/01/2026,19:10,21.4,24.8
23/01/2026,19:15,23.6,27.9
23/01/2026,19:20,20.7,25.2
23/01/2026,19:25,21.8,23.6
23/01/2026,19:30,23.7,25.7
23/01/2026,19:35,23.2,27.3
23/01/2026,19:40,23.1,26.3
23/01/2026,19:45,21.5,22.9
23/01/2026,19:50,22.5,24.0
23/01/2026,19:55,24.0,26.4
23/01/2026,20:00,24.2,27.9
23/01/2026,20:05,23.0,26.7
