DATE,TIME,WSPD,ATMP
26/12/2025,00:00,0.0,2.3
26/12/2025,00:05,0.0,2.3
26/12/2025,00:10,19.2,2.6
26/12/2025,00:15,17.9,2.6
26/12/2025,00:25,0.0,2.5
26/12/2025,00:30,18.4,2.5
26/12/2025,00:35,0.0,2.5
26/12/2025,00:45,0.0,2.9
26/12/2025,00:50,0.0,2.9
26/12/2025,00:55,0.0,2.4
26/12/2025,01:05,16.4,2.4
26/12/2025,01:10,0.0,2.4
26/12/2025,01:15,0.0,2.4
26/12/2025,01:20,0.0,2.3
26/12/2025,01:35,0.0,2.5
26/12/2025,01:40,0.0,2.5
26/12/2025,01:45,0.0,2.2
26/12/2025,01:50,0.0,2.3
26/12/2025,02:00,0.0,2.3
26/12/2025,02:05,0.0,2.3
26/12/2025,02:10,0.0,2.3
26/12/2025,02:25,5.7,2.2
26/12/2025,02:30,0.0,2.2
26/12/2025,02:40,0.0,2.2
26/12/2025,02:45,0.0,2.2
26/12/2025,02:50,0.0,2.2
26/12/2025,02:55,0.0,2.2
26/12/2025,03:05,0.0,2.0
26/12/2025,03:10,0.0,2.0
26/12/2025,03:15,0.0,2.1
26/12/2025,03:20,0.0,2.2
26/12/2025,03:25,0.0,2.0
26/12/2025,03:30,0.0,2.0
26/12/2025,03:35,11.6,2.0
26/12/2025,03:45,0.0,2.1
26/12/2025,03:50,0.0,2.1
26/12/2025,03:55,11.2,1.7
26/12/2025,04:00,5.4,1.9
26/12/2025,04:10,0.0,1.9
26/12/2025,04:15,11.2,2.0
26/12/2025,04:25,13.6,2.0
26/12/2025,04:30,0.0,2.1
26/12/2025,04:35,0.0,2.0
26/12/2025,04:40,0.0,2.3
26/12/2025,04:45,0.0,2.3
26/12/2025,04:50,0.0,2.5
26/12/2025,04:55,0.0,2.6
26/12/2025,05:00,0.0,2.6
26/12/2025,05:10,9.2,2.6
26/12/2025,05:15,0.0,2.6
26/12/2025,05:20,0.0,2.3
26/12/2025,05:30,0.0,2.5
26/12/2025,05:40,8.6,2.7
26/12/2025,05:45,0.0,2.7
26/12/2025,05:50,0.0,2.8
26/12/2025,05:55,0.0,2.8
26/12/2025,06:00,0.0,2.8
26/12/2025,06:05,7.4,2.8
26/12/2025,06:10,0.0,3.1
26/12/2025,06:15,0.0,2.9
26/12/2025,06:20,8.5,3.0
26/12/2025,06:25,0.0,3.0
26/12/2025,06:30,0.0,3.0
26/12/2025,06:35,0.0,3.0
26/12/2025,06:40,0.0,3.2
26/12/2025,06:45,7.4,3.4
26/12/2025,06:50,8.1,3.5
26/12/2025,06:55,8.8,3.4
26/12/2025,07:00,0.0,3.6
26/12/2025,07:05,8.4,3.7
26/12/2025,07:10,9.9,3.7
26/12/2025,07:15,0.0,3.6
26/12/2025,07:25,10.4,3.9
26/12/2025,07:30,8.9,3.8
26/12/2025,07:35,10.2,3.9
26/12/2025,07:50,8.0,4.1
26/12/2025,07:55,6.9,4.1
26/12/2025,08:00,11.7,4.1
26/12/2025,08:05,0.0,4.2
26/12/2025,08:10,10.3,4.2
26/12/2025,08:15,10.0,4.1
26/12/2025,08:20,6.2,4.3
26/12/2025,08:25,0.0,4.2
26/12/2025,08:35,0.0,4.2
26/12/2025,08:40,12.8,4.3
26/12/2025,08:45,13.3,4.6
26/12/2025,08:50,0.0,4.6
26/12/2025,08:55,9.3,4.5
26/12/2025,09:00,13.6,4.4
26/12/2025,09:05,14.9,4.4
26/12/2025,09:10,12.8,4.5
26/12/2025,09:15,12.1,4.4
26/12/2025,09:20,0.0,4.5
26/12/2025,09:25,13.0,4.6
26/12/2025,09:30,0.0,4.7
26/12/2025,09:35,0.0,4.6
26/12/2025,09:40,0.0,4.6
26/12/2025,09:50,0.0,5.0
26/12/2025,09:55,0.0,4.7
26/12/2025,10:00,0.0,4.9
26/12/2025,10:05,0.0,4.9
26/12/2025,10:10,11.5,4.8
26/12/2025,10:15,0.0,4.8
26/12/2025,10:20,13.0,5.2
26/12/2025,10:25,0.0,5.0
26/12/2025,10:30,0.0,5.1
26/12/2025,10:35,0.0,5.4
26/12/2025,10:40,12.0,5.3
26/12/2025,10:50,11.9,5.4
26/12/2025,10:55,0.0,5.5
26/12/2025,11:05,0.0,5.4
26/12/2025,11:10,13.7,5.4
26/12/2025,11:15,10.9,5.4
26/12/2025,11:25,12.2,5.8
26/12/2025,11:30,14.7,5.8
26/12/2025,11:35,5.2,5.7
26/12/2025,11:40,0.0,5.8
26/12/2025,11:45,0.0,5.9
26/12/2025,11:50,14.5,5.9
26/12/2025,12:00,14.5,6.1
26/12/2025,12:05,13.5,6.0
26/12/2025,12:10,0.0,6.1
26/12/2025,12:15,0.0,6.3
26/12/2025,12:20,0.0,6.3
26/12/2025,12:25,0.0,6.3
26/12/2025,12:30,0.0,6.3
26/12/2025,12:35,13.7,6.1
26/12/2025,12:40,6.0,6.3
26/12/2025,12:50,0.0,6.5
26/12/2025,12:55,12.0,6.2
26/12/2025,13:00,6.2,6.4
26/12/2025,13:05,0.0,6.3
26/12/2025,13:10,0.0,6.3
26/12/2025,13:15,11.1,6.5
26/12/2025,13:30,13.2,6.2
26/12/2025,13:40,5.1,6.3
26/12/2025,13:45,0.0,6.4
26/12/2025,13:50,0.0,6.4
26/12/2025,13:55,0.0,6.4
26/12/2025,14:00,0.0,6.4
26/12/2025,14:05,0.0,6.4
