DATE,TIME,WSPD,GST
08/01/2026,00:05,2.3,2.6
08/01/2026,00:10,1.8,2.2
08/01/2026,00:20,1.2,1.5
08/01/2026,00:25,0.5,0.7
08/01/2026,00:30,0.5,0.6
08/01/2026,00:35,1.3,1.6
08/01/2026,00:40,2.0,2.2
08/01/2026,00:45,2.2,2.5
08/01/2026,00:50,2.8,3.0
08/01/2026,00:55,4.7,5.0
08/01/2026,01:00,5.1,5.6
08/01/2026,01:05,5.5,5.7
08/01/2026,01:10,6.4,6.9
08/01/2026,01:15,6.9,7.5
08/01/2026,01:25,7.2,7.6
08/01/2026,01:30,7.5,7.9
08/01/2026,01:35,7.4,7.7
08/01/2026,01:45,6.6,7.1
08/01/2026,01:50,6.4,6.8
08/01/2026,01:55,6.0,6.3
08/01/2026,02:00,6.1,6.4
08/01/2026,02:05,5.5,6.4
08/01/2026,02:10,5.6,6.3
08/01/2026,02:15,5.3,6.2
08/01/2026,02:20,4.9,5.2
08/01/2026,02:25,5.1,5.7
08/01/2026,02:30,4.8,5.1
08/01/2026,02:35,4.0,4.4
08/01/2026,02:40,4.6,5.2
08/01/2026,02:45,4.5,4.6
08/01/2026,02:50,4.5,5.0
08/01/2026,03:00,2.9,3.5
08/01/2026,03:05,3.4,3.6
08/01/2026,03:10,2.7,3.3
08/01/2026,03:15,1.8,2.5
08/01/2026,03:20,0.8,1.5
08/01/2026,03:25,2.5,3.3
08/01/2026,03:30,4.0,4.4
08/01/2026,03:35,4.2,4.7
08/01/2026,03:45,2.8,3.6
08/01/2026,03:50,3.1,3.4
08/01/2026,03:55,3.9,4.0
08/01/2026,04:00,2.3,2.8
08/01/2026,04:05,3.8,4.3
08/01/2026,04:10,5.0,5.3
08/01/2026,04:15,4.2,4.7
08/01/2026,04:20,5.7,6.1
08/01/2026,04:25,4.3,5.0
08/01/2026,04:30,3.7,4.1
08/01/2026,04:35,3.5,3.8
08/01/2026,04:40,4.1,4.7
08/01/2026,04:45,5.7,6.8
08/01/2026,04:50,5.6,6.3
08/01/2026,04:55,4.9,6.1
08/01/2026,05:00,6.3,7.5
08/01/2026,05:10,6.4,6.9
08/01/2026,05:15,6.6,7.6
08/01/2026,05:20,7.2,8.1
08/01/2026,05:25,8.0,9.0
08/01/2026,05:30,8.6,9.9
08/01/2026,05:40,7.3,7.8
08/01/2026,05:45,6.7,7.3
08/01/2026,05:50,6.2,6.7
08/01/2026,06:00,6.5,7.2
08/01/2026,06:05,6.8,7.2
08/01/2026,06:10,8.4,9.2
08/01/2026,06:15,9.4,10.3
08/01/2026,06:20,10.7,11.2
08/01/2026,06:25,10.0,11.8
08/01/2026,06:30,10.8,11.9
08/01/2026,06:35,9.6,10.4
08/01/2026,06:40,8.7,9.2
08/01/2026,06:45,8.7,9.7
08/01/2026,06:50,9.1,10.4
08/01/2026,06:55,9.6,10.0
08/01/2026,07:00,9.7,9.9
08/01/2026,07:05,10.6,11.5
08/01/2026,07:10,10.7,11.3
08/01/2026,07:15,11.1,12.0
08/01/2026,07:20,10.9,11.6
08/01/2026,07:25,10.0,10.9
08/01/2026,07:30,10.0,11.1
08/01/2026,07:35,9.3,9.8
08/01/2026,07:40,11.3,12.3
08/01/2026,07:45,11.8,12.5
08/01/2026,07:55,11.9,12.3
08/01/2026,08:00,11.6,12.1
08/01/2026,08:05,10.5,11.1
08/01/2026,08:10,11.5,11.9
08/01/2026,08:15,11.8,12.4
08/01/2026,08:20,12.1,11.3
08/01/2026,08:25,10.7,11.5
08/01/2026,08:30,9.9,10.3
08/01/2026,08:35,0.0,0.0
08/01/2026,08:40,8.3,9.4
08/01/2026,08:45,8.4,8.8
08/01/2026,08:50,8.3,9.1
08/01/2026,09:00,0.0,0.0
08/01/2026,09:05,8.7,9.3
08/01/2026,09:10,8.3,8.9
08/01/2026,09:15,9.7,10.7
08/01/2026,09:20,9.5,9.9
08/01/2026,09:25,10.4,10.6
08/01/2026,09:30,10.0,10.2
08/01/2026,09:35,7.7,8.7
08/01/2026,09:40,6.1,7.6
08/01/2026,09:45,4.8,6.9
08/01/2026,09:50,0.0,0.0
08/01/2026,09:55,4.0,4.5
08/01/2026,10:00,3.9,4.6
08/01/2026,10:05,2.1,2.7
08/01/2026,10:10,4.5,5.4
08/01/2026,10:25,4.5,4.7
08/01/2026,10:40,5.7,5.8
