DATE,TIME,WSPD,GST
11/12/2025,00:00,8.2,8.9
11/12/2025,00:05,8.5,9.4
11/12/2025,00:10,8.8,10.1
11/12/2025,00:15,8.2,9.4
11/12/2025,00:20,9.1,10.2
11/12/2025,00:25,9.8,10.9
11/12/2025,00:30,9.5,10.0
11/12/2025,00:35,10.4,11.1
11/12/2025,00:40,9.7,11.0
11/12/2025,00:45,10.4,14.0
11/12/2025,00:50,11.4,12.5
11/12/2025,00:55,12.6,13.9
11/12/2025,01:00,12.1,13.4
11/12/2025,01:05,11.9,13.7
11/12/2025,01:10,10.5,11.7
11/12/2025,01:15,10.7,11.4
11/12/2025,01:20,9.5,10.8
11/12/2025,01:25,8.9,10.0
11/12/2025,01:30,8.2,9.9
11/12/2025,01:35,9.2,10.1
11/12/2025,01:40,8.6,10.0
11/12/2025,01:45,7.7,8.5
11/12/2025,01:50,7.4,7.9
11/12/2025,01:55,8.0,8.6
11/12/2025,02:00,7.7,9.0
11/12/2025,02:05,8.3,9.4
11/12/2025,02:10,9.1,11.1
11/12/2025,02:15,7.6,9.0
11/12/2025,02:20,7.5,8.3
11/12/2025,02:25,7.9,9.5
11/12/2025,02:30,7.1,7.8
11/12/2025,02:35,6.5,7.5
11/12/2025,02:40,7.5,8.2
11/12/2025,02:45,8.8,9.9
11/12/2025,02:50,9.4,11.3
11/12/2025,02:55,10.4,11.6
11/12/2025,03:00,10.2,12.3
11/12/2025,03:05,9.7,11.0
11/12/2025,03:10,10.5,12.5
11/12/2025,03:15,10.9,12.5
11/12/2025,03:20,10.1,10.7
11/12/2025,03:25,8.7,9.9
11/12/2025,03:30,8.1,9.0
11/12/2025,03:35,7.3,8.0
11/12/2025,03:40,7.4,8.5
11/12/2025,03:45,8.1,10.6
11/12/2025,03:50,6.7,8.6
11/12/2025,03:55,7.8,9.2
11/12/2025,04:00,6.7,9.1
11/12/2025,04:05,8.5,10.7
11/12/2025,04:10,8.2,9.3
11/12/2025,04:15,8.3,9.1
11/12/2025,04:20,7.7,8.9
11/12/2025,04:25,8.1,10.0
11/12/2025,04:30,7.2,8.0
11/12/2025,04:35,10.5,12.3
11/12/2025,04:40,11.2,12.8
11/12/2025,04:45,12.0,13.7
11/12/2025,04:50,12.0,14.2
11/12/2025,04:55,14.3,16.7
11/12/2025,05:00,13.8,15.0
11/12/2025,05:10,13.0,14.6
11/12/2025,05:15,14.4,16.3
11/12/2025,05:20,14.1,15.3
11/12/2025,05:25,13.9,15.2
11/12/2025,05:30,11.3,13.0
11/12/2025,05:40,7.9,9.7
11/12/2025,05:45,7.1,8.9
11/12/2025,05:50,6.3,7.3
11/12/2025,05:55,6.0,7.2
11/12/2025,06:00,5.2,6.0
11/12/2025,06:05,6.0,7.6
11/12/2025,06:10,5.6,6.7
11/12/2025,06:15,5.8,7.2
11/12/2025,06:20,6.2,7.1
11/12/2025,06:25,6.0,6.7
11/12/2025,06:30,6.1,6.6
11/12/2025,06:35,6.0,7.3
11/12/2025,06:40,6.6,7.8
11/12/2025,06:45,6.4,7.0
11/12/2025,06:50,8.5,9.4
11/12/2025,06:55,8.6,11.3
11/12/2025,07:00,8.2,10.0
11/12/2025,07:05,10.0,11.8
11/12/2025,07:10,7.8,9.7
11/12/2025,07:15,6.5,8.0
11/12/2025,07:20,6.4,8.0
11/12/2025,07:25,6.5,7.4
11/12/2025,07:30,5.0,6.3
11/12/2025,07:35,4.7,5.5
11/12/2025,07:40,5.1,5.8
11/12/2025,07:45,5.8,6.5
11/12/2025,07:50,5.1,5.8
11/12/2025,07:55,5.3,6.3
11/12/2025,08:00,6.0,6.5
11/12/2025,08:05,6.6,7.1
11/12/2025,08:10,7.7,8.5
11/12/2025,08:15,7.7,8.5
11/12/2025,08:20,7.9,9.1
11/12/2025,08:25,8.6,8.9
11/12/2025,08:30,8.5,9.5
11/12/2025,08:35,8.6,9.7
11/12/2025,08:40,8.7,9.9
11/12/2025,08:45,6.1,7.1
11/12/2025,08:50,6.8,7.7
11/12/2025,08:55,8.8,9.7
11/12/2025,09:00,7.9,9.6
11/12/2025,09:05,6.7,8.9
11/12/2025,09:10,10.8,11.9
11/12/2025,09:15,7.7,8.4
11/12/2025,09:20,10.3,11.7
11/12/2025,09:25,8.2,11.4
11/12/2025,09:30,8.2,9.6
11/12/2025,09:35,8.0,9.8
11/12/2025,09:40,7.2,10.9
11/12/2025,09:45,11.4,13.4
11/12/2025,09:50,12.0,12.6
11/12/2025,09:55,12.6,13.2
11/12/2025,10:00,12.7,13.2
11/12/2025,10:05,14.0,14.9
11/12/2025,10:10,12.5,13.1
11/12/2025,10:15,11.5,12.7
11/12/2025,10:20,10.4,12.0
11/12/2025,10:25,10.8,16.1
11/12/2025,10:30,4.4,8.8
11/12/2025,10:35,3.5,6.9
11/12/2025,10:40,7.4,9.6
11/12/2025,10:45,6.6,9.6
