DATE,TIME,WSPD,GST
06/12/2025,00:00,22.0,27.3
06/12/2025,00:05,21.7,24.8
06/12/2025,00:10,20.0,22.9
06/12/2025,00:15,25.1,28.2
06/12/2025,00:20,22.9,29.2
06/12/2025,00:25,24.6,31.3
06/12/2025,00:30,19.7,25.4
06/12/2025,00:35,20.4,23.8
06/12/2025,00:40,19.0,22.4
06/12/2025,00:45,17.7,20.5
06/12/2025,00:50,16.2,21.9
06/12/2025,00:55,16.3,19.9
06/12/2025,01:00,17.1,20.5
06/12/2025,01:05,16.4,19.2
06/12/2025,01:10,19.1,22.3
06/12/2025,01:15,20.8,27.0
06/12/2025,01:20,20.4,24.6
06/12/2025,01:25,18.3,22.3
06/12/2025,01:30,19.5,22.6
06/12/2025,01:35,18.0,20.6
06/12/2025,01:40,19.5,22.7
06/12/2025,01:45,17.7,19.7
06/12/2025,01:50,17.4,20.3
06/12/2025,01:55,17.6,20.4
06/12/2025,02:00,18.3,20.6
06/12/2025,02:05,17.4,20.4
06/12/2025,02:10,15.6,16.9
06/12/2025,02:15,24.1,28.6
06/12/2025,02:20,27.7,34.1
06/12/2025,02:25,21.6,24.3
06/12/2025,02:30,19.6,21.3
06/12/2025,02:35,16.3,19.1
06/12/2025,02:40,18.9,21.6
06/12/2025,02:45,19.9,23.5
06/12/2025,02:50,15.8,18.3
06/12/2025,02:55,16.6,18.2
06/12/2025,03:00,12.8,14.5
06/12/2025,03:05,13.8,16.7
06/12/2025,03:10,13.4,15.6
06/12/2025,03:15,14.3,15.0
06/12/2025,03:20,12.0,14.1
06/12/2025,03:25,13.3,15.1
06/12/2025,03:30,13.4,15.3
06/12/2025,03:35,13.1,14.9
06/12/2025,03:40,13.8,15.6
06/12/2025,03:50,15.7,18.9
06/12/2025,03:55,16.3,18.7
06/12/2025,04:00,18.5,21.2
06/12/2025,04:05,18.1,21.1
06/12/2025,04:10,20.7,23.0
06/12/2025,04:15,17.9,20.8
06/12/2025,04:20,21.8,22.9
06/12/2025,04:25,21.5,26.0
06/12/2025,04:30,28.4,33.7
06/12/2025,04:35,27.3,30.9
06/12/2025,04:40,22.6,26.8
06/12/2025,04:45,24.2,27.4
06/12/2025,04:50,23.3,27.2
06/12/2025,04:55,24.8,29.4
06/12/2025,05:00,25.0,27.3
06/12/2025,05:10,17.9,21.7
06/12/2025,05:15,18.4,19.9
06/12/2025,05:20,21.3,26.3
06/12/2025,05:25,21.4,26.6
06/12/2025,05:30,26.6,31.4
06/12/2025,05:40,24.5,26.6
06/12/2025,05:45,24.1,26.9
06/12/2025,05:50,24.7,30.6
06/12/2025,05:55,26.7,30.2
06/12/2025,06:00,22.7,27.5
06/12/2025,06:05,23.9,25.9
06/12/2025,06:10,24.2,28.6
06/12/2025,06:15,27.2,30.7
06/12/2025,06:20,27.3,31.6
06/12/2025,06:25,24.8,29.4
06/12/2025,06:30,25.1,29.5
06/12/2025,06:35,25.2,26.6
06/12/2025,06:40,25.8,28.9
06/12/2025,06:45,25.2,29.3
06/12/2025,06:50,23.7,27.3
06/12/2025,06:55,26.2,29.0
06/12/2025,07:05,23.9,28.1
06/12/2025,07:10,23.2,26.3
06/12/2025,07:15,22.6,26.2
06/12/2025,07:20,26.5,30.7
06/12/2025,07:25,25.4,28.2
06/12/2025,07:30,28.0,31.9
06/12/2025,07:35,27.9,30.6
06/12/2025,07:40,25.2,28.2
06/12/2025,07:45,23.6,26.4
06/12/2025,07:50,27.0,30.8
06/12/2025,07:55,28.0,30.9
06/12/2025,08:00,27.5,30.2
06/12/2025,08:05,23.6,26.3
06/12/2025,08:10,25.7,31.2
06/12/2025,08:15,26.2,28.8
06/12/2025,08:20,26.6,28.3
06/12/2025,08:25,26.6,31.7
06/12/2025,08:30,26.9,30.0
06/12/2025,08:35,27.8,30.1
06/12/2025,08:40,27.4,33.7
06/12/2025,08:45,24.3,27.2
06/12/2025,08:50,23.1,24.9
06/12/2025,08:55,22.4,26.5
06/12/2025,09:00,21.3,24.5
06/12/2025,09:05,24.1,27.5
06/12/2025,09:10,23.9,27.4
06/12/2025,09:15,22.0,24.1
06/12/2025,09:20,20.9,25.2
06/12/2025,09:25,25.6,29.3
06/12/2025,09:30,24.8,29.3
06/12/2025,09:35,25.5,29.6
06/12/2025,09:40,25.4,28.5
06/12/2025,09:45,24.2,26.5
06/12/2025,09:50,24.2,28.0
06/12/2025,09:55,24.2,27.7
06/12/2025,10:00,23.7,26.5
06/12/2025,10:05,23.5,25.9
06/12/2025,10:10,25.2,27.6
06/12/2025,10:15,28.1,29.9
06/12/2025,10:20,26.6,29.7
06/12/2025,10:25,25.2,27.4
06/12/2025,10:30,23.3,27.4
06/12/2025,10:35,24.4,29.1
06/12/2025,10:40,25.7,29.0
06/12/2025,10:45,26.8,30.9
06/12/2025,10:50,27.2,28.6
06/12/2025,10:55,22.1,24.4
06/12/2025,11:00,22.1,28.9
06/12/2025,11:05,27.2,29.2
06/12/2025,11:10,23.1,25.1
06/12/2025,11:15,25.0,30.9
06/12/2025,11:20,27.0,31.0
06/12/2025,11:25,27.3,32.0
06/12/2025,11:30,24.4,30.9
06/12/2025,11:35,23.9,27.2
06/12/2025,11:40,22.0,23.9
06/12/2025,11:45,20.7,24.3
06/12/2025,11:50,23.4,26.6
06/12/2025,11:55,23.3,26.5
06/12/2025,12:00,22.5,26.6
06/12/2025,12:05,23.7,27.5
06/12/2025,12:10,22.6,26.5
06/12/2025,12:15,24.9,26.7
06/12/2025,12:20,21.0,24.1
06/12/2025,12:25,24.4,26.8
06/12/2025,12:30,26.6,31.5
06/12/2025,12:35,20.6,23.5
06/12/2025,12:40,19.7,25.0
06/12/2025,12:45,20.3,24.3
06/12/2025,12:50,19.9,23.6
06/12/2025,12:55,22.6,27.3
06/12/2025,13:00,21.6,24.6
06/12/2025,13:05,23.5,26.1
06/12/2025,13:10,18.5,19.9
06/12/2025,13:15,26.0,31.6
06/12/2025,13:20,25.2,26.0
06/12/2025,13:25,23.0,31.3
06/12/2025,13:30,22.2,26.7
06/12/2025,13:35,21.8,25.2
06/12/2025,13:40,23.2,27.2
06/12/2025,13:45,22.3,25.3
06/12/2025,13:50,24.2,29.7
06/12/2025,13:55,23.3,26.9
06/12/2025,14:00,24.1,26.4
06/12/2025,14:05,21.2,23.8
06/12/2025,14:10,19.8,21.2
06/12/2025,14:15,18.2,20.5
06/12/2025,14:20,17.7,18.4
06/12/2025,14:25,22.7,27.8
06/12/2025,14:30,21.7,23.5
06/12/2025,14:35,23.5,25.3
06/12/2025,14:40,20.7,22.5
06/12/2025,14:45,20.6,23.5
06/12/2025,14:50,21.8,25.3
06/12/2025,14:55,22.8,27.7
06/12/2025,15:00,23.1,26.0
06/12/2025,15:05,22.0,25.7
06/12/2025,15:10,27.3,29.5
06/12/2025,15:15,22.9,25.3
06/12/2025,15:20,18.6,21.0
06/12/2025,15:25,19.0,20.8
06/12/2025,15:30,18.8,20.2
06/12/2025,15:35,20.0,24.2
06/12/2025,15:40,19.0,21.4
06/12/2025,15:45,18.3,20.1
06/12/2025,15:50,18.9,21.7
06/12/2025,15:55,18.2,20.7
06/12/2025,16:00,20.3,23.1
06/12/2025,16:05,20.7,22.6
06/12/2025,16:10,20.7,23.7
06/12/2025,16:15,18.7,21.8
06/12/2025,16:20,22.5,25.7
06/12/2025,16:25,21.9,23.3
06/12/2025,16:30,20.0,21.4
06/12/2025,16:40,18.2,21.5
06/12/2025,16:45,18.0,19.8
06/12/2025,16:50,20.2,25.8
06/12/2025,16:55,20.8,23.5
06/12/2025,17:00,22.3,25.2
06/12/2025,17:05,20.3,21.5
06/12/2025,17:10,22.0,24.6
06/12/2025,17:15,21.3,23.7
06/12/2025,17:20,19.9,21.9
06/12/2025,17:25,20.1,23.4
06/12/2025,17:30,21.4,23.5
06/12/2025,17:35,21.0,22.5
06/12/2025,17:40,19.5,21.9
06/12/2025,17:45,18.4,20.2
06/12/2025,17:50,17.9,19.4
06/12/2025,17:55,17.7,19.2
06/12/2025,18:00,18.2,20.7
06/12/2025,18:05,18.2,19.3
06/12/2025,18:10,18.2,19.7
06/12/2025,18:15,19.8,21.8
06/12/2025,18:20,19.1,21.1
06/12/2025,18:25,17.8,19.4
06/12/2025,18:30,19.5,21.5
06/12/2025,18:35,20.3,21.4
06/12/2025,18:40,19.0,20.4
06/12/2025,18:45,17.4,19.5
06/12/2025,18:50,17.5,18.1
06/12/2025,18:55,14.8,16.2
06/12/2025,19:00,16.4,18.3
06/12/2025,19:05,15.2,16.9
06/12/2025,19:10,15.2,17.3
06/12/2025,19:15,15.6,16.9
06/12/2025,19:20,19.6,23.3
06/12/2025,19:25,15.3,16.4
06/12/2025,19:30,14.1,16.0
06/12/2025,19:35,14.3,15.0
06/12/2025,19:40,14.3,15.3
06/12/2025,19:45,14.2,15.2
06/12/2025,19:50,15.3,17.0
06/12/2025,19:55,16.4,17.5
06/12/2025,20:00,17.4,19.2
06/12/2025,20:05,16.6,17.9
06/12/2025,20:10,16.3,17.1
06/12/2025,20:15,17.1,18.1
06/12/2025,20:20,18.0,20.2
06/12/2025,20:25,17.7,19.7
06/12/2025,20:30,17.8,19.0
06/12/2025,20:35,17.1,18.8
06/12/2025,20:40,16.1,17.6
06/12/2025,20:45,15.9,17.8
06/12/2025,20:50,15.1,16.6
06/12/2025,20:55,13.4,14.3
06/12/2025,21:00,13.0,14.2
06/12/2025,21:05,13.4,16.0
06/12/2025,21:10,15.8,17.6
06/12/2025,21:15,17.9,19.8
06/12/2025,21:20,18.5,20.5
06/12/2025,21:25,17.7,19.0
06/12/2025,21:30,17.5,19.7
06/12/2025,21:35,17.5,19.7
06/12/2025,21:40,16.6,18.0
