DATE,TIME,WSPD,GST
14/12/2025,00:00,7.4,8.1
14/12/2025,00:05,7.4,8.2
14/12/2025,00:10,6.9,7.3
14/12/2025,00:15,6.8,7.3
14/12/2025,00:20,7.5,8.2
14/12/2025,00:25,8.9,9.3
14/12/2025,00:30,9.3,10.3
14/12/2025,00:40,9.2,10.3
14/12/2025,00:50,9.4,10.8
14/12/2025,00:55,7.6,8.6
14/12/2025,01:05,7.6,8.5
14/12/2025,01:10,11.4,12.8
14/12/2025,01:15,12.0,12.7
14/12/2025,01:20,11.5,12.7
14/12/2025,01:30,12.2,13.1
14/12/2025,01:40,10.7,11.3
14/12/2025,01:45,8.8,9.4
14/12/2025,01:50,10.4,13.1
14/12/2025,01:55,12.2,13.5
14/12/2025,02:00,10.6,12.2
14/12/2025,02:05,12.3,13.1
14/12/2025,02:10,8.7,10.0
14/12/2025,02:15,12.4,13.5
14/12/2025,02:20,10.8,13.0
14/12/2025,02:25,10.5,12.7
14/12/2025,02:30,9.6,10.3
14/12/2025,02:35,10.9,11.9
14/12/2025,02:40,11.8,12.7
14/12/2025,02:45,10.3,11.2
14/12/2025,02:50,9.2,10.6
14/12/2025,02:55,9.4,10.9
14/12/2025,03:00,10.2,11.6
14/12/2025,03:05,9.8,10.7
14/12/2025,03:10,10.0,10.8
14/12/2025,03:20,8.9,9.9
14/12/2025,03:35,8.2,9.0
14/12/2025,03:40,8.6,9.9
14/12/2025,03:45,10.5,11.7
14/12/2025,04:00,8.9,9.8
14/12/2025,04:05,9.7,11.2
14/12/2025,04:10,10.7,11.2
14/12/2025,04:15,11.5,12.4
14/12/2025,04:20,11.4,12.4
14/12/2025,04:25,11.1,12.2
14/12/2025,04:30,11.0,12.6
14/12/2025,04:35,11.2,12.1
14/12/2025,04:40,10.0,11.6
14/12/2025,04:45,10.8,12.3
14/12/2025,04:50,10.0,10.6
14/12/2025,04:55,9.4,11.3
14/12/2025,05:00,8.9,9.9
14/12/2025,05:15,10.0,10.9
14/12/2025,05:20,10.8,12.0
14/12/2025,05:25,10.0,10.9
14/12/2025,05:30,11.4,13.0
14/12/2025,05:40,12.3,14.1
14/12/2025,05:45,11.7,13.0
14/12/2025,05:50,12.3,14.2
14/12/2025,05:55,12.3,13.5
14/12/2025,06:00,10.8,12.2
14/12/2025,06:05,10.6,12.1
14/12/2025,06:10,10.9,12.8
14/12/2025,06:15,10.4,13.1
14/12/2025,06:20,10.4,12.0
14/12/2025,06:25,11.4,12.7
14/12/2025,06:30,10.4,12.2
14/12/2025,06:35,9.5,10.1
14/12/2025,06:40,10.0,11.2
14/12/2025,06:45,9.4,10.3
14/12/2025,06:50,9.3,10.3
14/12/2025,06:55,10.5,12.3
14/12/2025,07:00,10.8,12.9
14/12/2025,07:05,10.7,12.7
14/12/2025,07:10,10.1,11.6
14/12/2025,07:15,9.3,12.1
14/12/2025,07:20,11.4,12.4
14/12/2025,07:25,9.8,11.4
14/12/2025,07:30,11.1,13.7
14/12/2025,07:35,12.3,14.2
14/12/2025,07:40,14.1,15.9
14/12/2025,07:45,14.6,16.7
14/12/2025,07:50,15.5,17.6
14/12/2025,07:55,12.7,15.1
14/12/2025,08:00,13.7,15.4
14/12/2025,08:05,13.2,16.2
14/12/2025,08:10,13.4,16.0
14/12/2025,08:15,10.8,12.8
14/12/2025,08:20,12.6,15.1
14/12/2025,08:25,13.0,14.5
14/12/2025,08:30,12.0,14.0
14/12/2025,08:40,9.9,11.6
14/12/2025,08:45,10.5,12.7
14/12/2025,08:50,10.5,12.9
14/12/2025,08:55,12.1,14.5
14/12/2025,09:00,11.6,13.1
14/12/2025,09:05,13.4,15.8
14/12/2025,09:10,13.4,15.8
14/12/2025,09:15,13.5,15.9
14/12/2025,09:20,12.1,14.8
14/12/2025,09:25,12.3,12.8
14/12/2025,09:30,10.0,11.3
14/12/2025,09:35,9.8,10.8
14/12/2025,09:40,12.9,14.5
14/12/2025,09:45,10.7,13.6
14/12/2025,09:50,13.0,16.3
14/12/2025,09:55,13.5,14.6
14/12/2025,10:00,13.5,17.3
14/12/2025,10:05,13.8,16.1
14/12/2025,10:10,14.1,16.2
14/12/2025,10:15,13.1,15.2
14/12/2025,10:20,13.0,17.1
14/12/2025,10:25,14.5,16.9
14/12/2025,10:30,14.2,18.1
14/12/2025,10:35,16.3,20.5
14/12/2025,10:40,14.5,18.0
14/12/2025,10:45,15.2,18.4
14/12/2025,12:55,12.8,18.3
14/12/2025,13:00,9.4,11.3
14/12/2025,13:05,14.6,17.5
14/12/2025,13:10,15.5,18.0
14/12/2025,13:15,15.9,19.4
14/12/2025,13:20,17.2,21.2
14/12/2025,13:25,14.3,16.0
14/12/2025,13:30,13.7,18.1
