DATE,TIME,WSPD,GST
20/01/2026,00:00,9.1,9.5
20/01/2026,00:05,8.9,9.7
20/01/2026,00:10,9.2,9.8
20/01/2026,00:15,8.7,9.5
20/01/2026,00:20,8.9,9.8
20/01/2026,00:25,7.5,9.0
20/01/2026,00:30,8.6,9.5
20/01/2026,00:35,9.2,10.2
20/01/2026,00:40,10.4,12.8
20/01/2026,00:45,9.3,10.2
20/01/2026,00:50,10.5,12.7
20/01/2026,00:55,10.2,11.6
20/01/2026,01:00,10.1,10.8
20/01/2026,01:05,10.2,11.1
20/01/2026,01:10,7.3,8.2
20/01/2026,01:15,9.2,11.8
20/01/2026,01:20,10.0,11.3
20/01/2026,01:25,10.1,12.0
20/01/2026,01:30,9.5,10.3
20/01/2026,01:35,9.9,11.0
20/01/2026,01:40,11.5,12.4
20/01/2026,01:45,11.1,13.0
20/01/2026,01:50,12.2,13.2
20/01/2026,01:55,14.3,17.3
20/01/2026,02:00,12.5,13.7
20/01/2026,02:05,14.1,16.3
20/01/2026,02:10,15.6,18.6
20/01/2026,02:15,12.4,14.2
20/01/2026,02:20,14.9,16.7
20/01/2026,02:25,14.0,15.1
20/01/2026,02:30,13.0,14.1
20/01/2026,02:35,13.1,15.8
20/01/2026,02:40,12.8,14.3
20/01/2026,02:45,12.7,13.5
20/01/2026,02:50,12.1,13.1
20/01/2026,02:55,12.4,15.8
20/01/2026,03:00,11.8,13.1
20/01/2026,03:05,12.7,17.0
20/01/2026,03:10,11.0,11.7
20/01/2026,03:15,12.8,14.2
20/01/2026,03:20,13.1,14.8
20/01/2026,03:25,11.8,14.7
20/01/2026,03:30,12.0,13.2
20/01/2026,03:35,11.5,13.6
20/01/2026,03:40,11.2,12.4
20/01/2026,03:45,12.3,13.3
20/01/2026,03:50,11.2,12.0
20/01/2026,03:55,11.9,14.6
20/01/2026,04:00,12.5,15.9
20/01/2026,04:05,11.0,12.6
20/01/2026,04:10,11.6,13.8
20/01/2026,04:15,12.6,15.2
20/01/2026,04:20,11.5,12.6
20/01/2026,04:25,13.1,13.9
20/01/2026,04:30,11.3,12.8
20/01/2026,04:35,12.0,13.3
20/01/2026,04:40,13.3,14.7
20/01/2026,04:45,12.2,13.7
20/01/2026,04:50,11.1,12.0
20/01/2026,04:55,13.7,15.5
20/01/2026,05:00,13.2,14.9
20/01/2026,05:15,15.0,17.5
20/01/2026,05:20,16.4,18.5
20/01/2026,05:30,14.5,15.4
20/01/2026,05:40,14.5,16.5
20/01/2026,05:45,15.1,16.5
20/01/2026,05:50,14.2,15.7
20/01/2026,06:00,14.3,16.1
20/01/2026,06:05,14.2,17.6
20/01/2026,06:10,14.5,15.9
20/01/2026,06:15,13.1,14.4
20/01/2026,06:20,11.4,12.9
20/01/2026,06:25,13.4,15.4
20/01/2026,06:30,12.0,14.2
20/01/2026,06:35,12.9,15.1
20/01/2026,06:40,13.0,13.6
20/01/2026,06:45,12.0,13.6
20/01/2026,06:50,12.5,13.7
20/01/2026,06:55,13.1,14.0
20/01/2026,07:00,13.2,15.3
20/01/2026,07:05,12.2,13.5
20/01/2026,07:10,12.4,14.3
20/01/2026,07:35,12.9,14.0
20/01/2026,08:00,13.5,14.6
20/01/2026,08:15,13.1,14.7
20/01/2026,08:35,14.4,16.4
20/01/2026,08:55,15.1,17.4
20/01/2026,09:20,17.2,22.0
20/01/2026,09:25,17.6,20.4
20/01/2026,09:30,17.1,19.6
20/01/2026,10:00,18.7,20.7
20/01/2026,10:15,22.2,26.2
20/01/2026,10:30,20.4,22.8
20/01/2026,11:10,17.0,19.2
20/01/2026,11:20,19.9,22.7
20/01/2026,11:25,18.0,20.0
20/01/2026,11:30,18.0,20.7
20/01/2026,11:50,20.3,26.9
20/01/2026,11:55,27.4,30.6
20/01/2026,12:00,25.5,30.0
20/01/2026,12:10,22.3,25.4
20/01/2026,12:15,24.9,27.9
20/01/2026,12:35,18.9,21.0
20/01/2026,12:50,18.9,21.3
20/01/2026,13:05,19.1,21.1
20/01/2026,13:40,20.3,23.7
20/01/2026,13:55,21.9,24.5
20/01/2026,14:20,21.8,24.0
20/01/2026,14:25,23.7,25.2
20/01/2026,14:35,23.5,27.8
20/01/2026,14:50,25.1,30.7
20/01/2026,15:10,20.8,24.6
20/01/2026,15:20,22.6,25.7
20/01/2026,15:35,22.6,24.4
20/01/2026,16:25,22.3,23.8
20/01/2026,16:30,25.1,28.9
20/01/2026,16:35,24.7,28.3
20/01/2026,16:40,27.3,30.5
20/01/2026,16:45,25.7,29.1
20/01/2026,17:00,26.8,30.9
20/01/2026,17:05,25.9,30.7
20/01/2026,17:15,26.3,28.8
20/01/2026,17:20,25.9,28.2
20/01/2026,17:35,26.6,31.1
20/01/2026,17:50,26.8,34.2
20/01/2026,17:55,27.4,29.9
20/01/2026,18:00,25.1,28.7
20/01/2026,18:10,23.0,25.3
20/01/2026,18:15,26.2,31.8
20/01/2026,18:20,26.7,30.9
20/01/2026,18:25,24.9,27.1
20/01/2026,18:30,25.9,27.9
20/01/2026,18:35,22.6,25.9
20/01/2026,18:40,25.8,30.1
20/01/2026,18:45,24.3,27.2
20/01/2026,18:50,26.3,29.1
20/01/2026,18:55,25.2,30.7
20/01/2026,19:00,20.7,25.3
20/01/2026,19:05,26.6,31.2
20/01/2026,19:10,24.0,26.6
20/01/2026,19:15,26.6,31.0
20/01/2026,19:20,26.4,30.9
20/01/2026,19:25,27.6,30.5
20/01/2026,19:30,30.5,32.9
20/01/2026,19:35,26.9,30.3
20/01/2026,19:45,25.0,27.3
20/01/2026,19:50,28.7,31.6
20/01/2026,19:55,30.8,33.4
20/01/2026,20:00,27.7,30.8
20/01/2026,20:05,27.5,32.1
20/01/2026,20:10,25.9,28.1
20/01/2026,20:30,21.8,24.2
20/01/2026,20:35,22.5,27.3
20/01/2026,20:40,22.4,26.2
20/01/2026,20:45,24.1,27.5
20/01/2026,20:50,24.3,28.1
20/01/2026,20:55,22.0,25.9
20/01/2026,21:05,20.7,24.6
20/01/2026,21:15,16.1,20.3
20/01/2026,21:20,16.2,17.3
20/01/2026,21:25,17.1,20.2
20/01/2026,21:30,19.5,23.2
20/01/2026,21:35,16.3,18.8
