DATE,TIME,WSPD,GST
07/12/2025,00:00,7.5,9.2
07/12/2025,00:05,7.2,8.3
07/12/2025,00:10,5.7,6.8
07/12/2025,00:15,4.8,5.7
07/12/2025,00:20,3.3,4.5
07/12/2025,00:25,3.6,4.9
07/12/2025,00:30,7.9,9.6
07/12/2025,00:35,8.8,10.6
07/12/2025,00:40,7.9,9.2
07/12/2025,00:45,7.4,7.9
07/12/2025,00:50,6.2,7.3
07/12/2025,00:55,5.5,6.1
07/12/2025,01:00,3.8,4.7
07/12/2025,01:05,2.0,3.2
07/12/2025,01:10,2.7,4.9
07/12/2025,01:15,6.8,8.0
07/12/2025,01:20,8.4,9.0
07/12/2025,01:25,8.8,10.8
07/12/2025,01:30,9.2,10.8
07/12/2025,01:35,9.3,9.9
07/12/2025,01:40,9.1,11.0
07/12/2025,01:45,7.6,8.7
07/12/2025,01:50,8.9,10.6
07/12/2025,01:55,9.1,10.3
07/12/2025,02:00,10.2,13.0
07/12/2025,02:05,9.2,10.3
07/12/2025,02:10,9.1,10.5
07/12/2025,02:15,7.5,8.6
07/12/2025,02:20,7.2,8.6
07/12/2025,02:25,8.0,9.1
07/12/2025,02:30,8.1,9.1
07/12/2025,02:35,7.7,9.1
07/12/2025,02:40,6.9,7.7
07/12/2025,02:45,7.7,9.4
07/12/2025,02:50,7.6,9.0
07/12/2025,02:55,7.8,9.3
07/12/2025,03:00,7.4,7.9
07/12/2025,03:05,8.2,8.9
07/12/2025,03:10,7.7,8.3
07/12/2025,03:15,6.7,7.4
07/12/2025,03:20,6.7,7.3
07/12/2025,03:25,6.8,7.6
07/12/2025,03:30,7.1,7.6
07/12/2025,03:35,6.7,7.2
07/12/2025,03:40,6.8,7.0
07/12/2025,03:45,7.0,8.0
07/12/2025,03:50,7.2,8.0
07/12/2025,03:55,8.4,9.1
07/12/2025,04:00,7.2,8.6
07/12/2025,04:05,7.5,8.0
07/12/2025,04:10,7.9,9.4
07/12/2025,04:15,8.3,9.2
07/12/2025,04:20,7.4,9.3
07/12/2025,04:25,8.2,8.7
07/12/2025,04:30,8.2,8.9
07/12/2025,04:35,8.3,9.3
07/12/2025,04:40,7.8,9.5
07/12/2025,04:45,6.9,7.9
07/12/2025,04:50,7.2,8.1
07/12/2025,04:55,7.0,7.6
07/12/2025,05:00,9.2,11.0
07/12/2025,05:10,9.2,10.2
07/12/2025,05:15,10.1,11.4
07/12/2025,05:20,8.5,9.4
07/12/2025,05:25,10.1,11.1
07/12/2025,05:30,10.3,11.6
07/12/2025,05:40,10.1,11.5
07/12/2025,05:45,9.4,10.6
07/12/2025,05:50,10.0,12.0
07/12/2025,05:55,11.0,13.0
07/12/2025,06:00,9.7,11.1
07/12/2025,06:05,9.9,10.8
07/12/2025,06:10,11.5,12.6
07/12/2025,06:15,10.0,10.3
07/12/2025,06:20,9.0,11.0
07/12/2025,06:25,9.7,11.4
07/12/2025,06:30,10.1,12.6
07/12/2025,06:35,9.5,11.0
07/12/2025,06:40,8.4,9.6
07/12/2025,06:45,9.2,9.9
07/12/2025,06:50,9.0,10.9
07/12/2025,06:55,9.1,10.5
07/12/2025,07:00,9.6,11.1
07/12/2025,07:05,10.2,11.3
07/12/2025,07:10,9.7,12.0
07/12/2025,07:15,12.1,14.1
07/12/2025,07:20,11.1,13.3
07/12/2025,07:25,11.1,12.2
07/12/2025,07:30,11.1,11.8
07/12/2025,07:35,10.5,12.0
07/12/2025,07:40,13.5,17.0
07/12/2025,07:45,13.4,15.6
07/12/2025,07:50,11.8,14.9
07/12/2025,07:55,11.7,14.4
07/12/2025,08:00,14.0,15.6
07/12/2025,08:05,13.9,17.1
07/12/2025,08:10,14.0,16.6
07/12/2025,08:15,11.5,13.5
07/12/2025,08:20,10.5,11.5
07/12/2025,08:25,13.1,14.7
07/12/2025,08:30,12.3,13.9
07/12/2025,08:35,14.9,17.1
07/12/2025,08:40,16.7,19.5
07/12/2025,08:45,17.7,19.8
07/12/2025,08:50,18.5,20.3
07/12/2025,08:55,18.7,21.1
07/12/2025,09:00,17.9,20.0
07/12/2025,09:05,18.1,19.4
07/12/2025,09:10,19.1,21.0
07/12/2025,09:15,20.3,21.1
07/12/2025,09:20,19.7,22.5
07/12/2025,09:25,20.9,22.6
07/12/2025,09:30,19.7,21.5
07/12/2025,09:35,19.7,21.9
07/12/2025,09:40,20.3,21.2
07/12/2025,09:45,21.0,24.0
07/12/2025,09:50,20.7,24.5
07/12/2025,09:55,19.9,21.3
07/12/2025,10:00,19.4,22.4
07/12/2025,10:05,21.0,23.5
07/12/2025,10:10,22.0,25.9
07/12/2025,13:20,25.0,29.8
07/12/2025,13:25,29.6,33.5
07/12/2025,13:30,24.7,25.8
07/12/2025,13:35,25.7,33.9
07/12/2025,13:40,26.5,29.8
07/12/2025,13:45,25.3,28.3
07/12/2025,13:50,25.0,28.5
07/12/2025,13:55,22.7,27.1
07/12/2025,14:00,22.2,26.5
07/12/2025,14:05,23.8,29.3
07/12/2025,14:10,22.5,25.6
07/12/2025,14:15,27.3,31.6
07/12/2025,14:20,24.8,30.9
07/12/2025,14:25,27.2,31.8
07/12/2025,14:30,27.6,36.8
07/12/2025,14:35,28.7,30.9
07/12/2025,14:40,25.1,30.9
07/12/2025,14:45,24.7,31.5
07/12/2025,14:50,25.9,36.0
07/12/2025,14:55,25.1,31.0
07/12/2025,15:00,26.6,32.3
07/12/2025,15:05,23.0,28.5
07/12/2025,15:10,25.9,30.9
07/12/2025,15:15,28.2,35.9
07/12/2025,15:20,27.1,31.3
07/12/2025,15:25,26.2,31.0
07/12/2025,15:30,29.3,36.4
07/12/2025,15:35,28.4,33.0
07/12/2025,15:40,27.5,33.4
07/12/2025,15:45,28.6,32.2
07/12/2025,15:50,29.9,36.1
07/12/2025,15:55,29.1,34.5
07/12/2025,16:00,30.4,34.4
07/12/2025,16:05,29.5,31.4
07/12/2025,16:10,29.7,35.3
07/12/2025,16:15,27.4,28.9
07/12/2025,16:20,30.8,34.1
07/12/2025,16:25,32.8,35.3
07/12/2025,16:30,29.9,36.6
07/12/2025,16:35,34.9,38.2
07/12/2025,16:40,30.2,31.2
07/12/2025,16:45,32.2,34.9
07/12/2025,16:50,31.0,35.1
07/12/2025,16:55,30.6,36.0
07/12/2025,17:00,32.1,36.7
07/12/2025,17:05,31.6,35.0
07/12/2025,17:10,28.6,32.7
07/12/2025,17:15,27.7,30.4
07/12/2025,17:20,26.7,31.4
07/12/2025,17:25,29.4,33.0
07/12/2025,17:30,28.6,32.5
07/12/2025,17:35,28.8,31.4
07/12/2025,17:40,27.4,31.5
