DATE,TIME,WSPD,GST
15/01/2026,00:00,14.0,17.5
15/01/2026,00:05,16.8,17.7
15/01/2026,00:10,14.8,16.4
15/01/2026,00:15,15.4,16.2
15/01/2026,00:20,14.1,15.5
15/01/2026,00:25,12.5,13.6
15/01/2026,00:30,13.7,14.9
15/01/2026,00:35,13.9,15.2
15/01/2026,00:40,13.9,15.0
15/01/2026,00:45,11.8,12.7
15/01/2026,00:50,10.6,11.4
15/01/2026,00:55,9.6,10.6
15/01/2026,01:00,9.2,9.9
15/01/2026,01:05,9.2,10.0
15/01/2026,01:10,8.4,9.1
15/01/2026,01:15,7.9,9.1
15/01/2026,01:20,7.3,8.3
15/01/2026,01:25,5.8,7.0
15/01/2026,01:30,5.8,7.2
15/01/2026,01:35,8.0,9.7
15/01/2026,01:45,12.8,13.8
15/01/2026,01:50,15.2,17.2
15/01/2026,01:55,15.6,17.9
15/01/2026,02:00,12.6,13.5
15/01/2026,02:05,12.9,13.9
15/01/2026,02:10,12.0,13.0
15/01/2026,02:15,11.8,12.5
15/01/2026,02:20,14.0,15.6
15/01/2026,02:25,16.3,19.2
15/01/2026,02:30,16.1,21.2
15/01/2026,02:35,16.2,19.8
15/01/2026,02:40,18.2,21.0
15/01/2026,02:45,15.4,17.0
15/01/2026,02:50,19.2,23.2
15/01/2026,02:55,18.9,22.0
15/01/2026,03:00,18.9,22.2
15/01/2026,03:05,16.0,19.0
15/01/2026,03:10,18.7,21.2
15/01/2026,03:15,16.5,19.7
15/01/2026,03:20,17.9,19.3
15/01/2026,03:25,14.0,16.4
15/01/2026,03:30,17.3,18.8
15/01/2026,03:35,18.5,22.0
15/01/2026,03:40,20.3,21.6
15/01/2026,03:45,15.9,18.4
15/01/2026,03:50,14.5,14.9
15/01/2026,03:55,16.3,19.5
15/01/2026,04:00,13.4,16.4
15/01/2026,04:05,14.5,16.5
15/01/2026,04:10,12.9,14.4
15/01/2026,04:15,11.9,15.6
15/01/2026,04:20,13.6,15.6
15/01/2026,04:25,13.3,14.3
15/01/2026,04:30,15.4,16.9
15/01/2026,04:35,15.5,16.4
15/01/2026,04:40,12.0,14.1
15/01/2026,04:45,15.0,17.5
15/01/2026,05:00,13.0,15.1
15/01/2026,05:10,14.3,17.4
15/01/2026,05:20,15.2,18.6
15/01/2026,05:30,17.3,19.6
15/01/2026,05:40,11.1,12.7
15/01/2026,05:45,13.1,15.2
15/01/2026,05:55,14.4,16.2
15/01/2026,06:05,18.1,19.9
15/01/2026,06:15,16.3,18.5
15/01/2026,06:30,14.5,16.7
15/01/2026,06:40,8.8,10.8
