DATE,TIME,WSPD,GST
28/01/2026,00:05,6.2,6.6
28/01/2026,00:15,5.7,6.0
28/01/2026,01:00,6.7,7.2
28/01/2026,01:15,9.2,10.0
28/01/2026,01:35,6.5,6.7
28/01/2026,01:45,7.0,7.5
28/01/2026,01:55,7.7,8.0
28/01/2026,02:30,8.1,8.7
28/01/2026,02:55,8.4,8.8
28/01/2026,03:05,7.4,7.9
28/01/2026,03:25,7.6,7.8
28/01/2026,03:45,7.1,7.6
28/01/2026,03:55,6.9,7.6
28/01/2026,04:05,7.7,8.4
28/01/2026,04:15,6.2,7.0
28/01/2026,04:35,6.7,7.4
28/01/2026,04:50,4.7,5.0
28/01/2026,05:00,5.5,6.0
28/01/2026,05:10,6.7,7.8
28/01/2026,05:20,5.1,5.6
28/01/2026,05:25,4.0,4.7
28/01/2026,05:40,2.1,2.9
28/01/2026,05:45,2.3,2.9
28/01/2026,06:00,2.5,2.8
28/01/2026,06:05,1.1,1.5
28/01/2026,06:10,1.6,2.3
28/01/2026,06:15,1.9,2.4
28/01/2026,06:20,2.5,2.7
28/01/2026,06:40,3.6,4.0
28/01/2026,06:45,4.4,4.7
28/01/2026,06:50,2.6,2.8
28/01/2026,06:55,3.5,4.3
28/01/2026,07:00,2.7,3.7
28/01/2026,07:10,3.1,3.5
28/01/2026,07:20,1.7,1.9
28/01/2026,07:25,3.3,3.6
28/01/2026,07:40,4.8,4.9
28/01/2026,07:45,5.4,5.5
28/01/2026,07:55,5.4,5.6
28/01/2026,08:05,3.9,4.3
28/01/2026,08:20,5.7,5.9
28/01/2026,08:25,6.7,7.0
28/01/2026,08:40,6.6,6.7
28/01/2026,08:50,6.4,6.8
28/01/2026,09:15,4.5,5.0
28/01/2026,09:55,6.3,6.6
28/01/2026,10:05,6.2,6.5
28/01/2026,10:10,4.8,5.1
28/01/2026,10:15,4.5,5.2
28/01/2026,10:20,4.3,4.6
28/01/2026,10:25,3.3,3.6
28/01/2026,10:30,2.2,2.6
28/01/2026,10:35,2.9,3.0
28/01/2026,10:40,3.7,3.8
28/01/2026,20:20,5.2,5.7
28/01/2026,20:30,3.6,4.0
28/01/2026,20:35,2.3,2.9
28/01/2026,20:40,4.7,5.6
28/01/2026,20:45,3.4,3.8
28/01/2026,20:50,1.2,2.2
28/01/2026,20:55,0.8,1.4
28/01/2026,21:05,0.4,0.5
28/01/2026,21:10,0.9,1.4
28/01/2026,21:15,2.1,2.4
28/01/2026,21:20,5.5,5.9
28/01/2026,21:25,6.0,6.4
28/01/2026,21:30,6.1,6.5
28/01/2026,21:35,6.0,6.3
28/01/2026,21:40,5.6,6.1
28/01/2026,21:50,6.4,6.7
28/01/2026,21:55,6.5,6.9
28/01/2026,22:00,6.6,6.9
28/01/2026,22:05,7.6,8.1
28/01/2026,22:10,10.1,10.9
28/01/2026,22:15,8.9,9.7
28/01/2026,22:20,9.3,10.2
28/01/2026,22:25,9.3,9.9
28/01/2026,22:35,9.7,10.4
28/01/2026,22:45,9.6,10.2
28/01/2026,22:50,10.6,11.5
28/01/2026,23:00,6.2,8.1
28/01/2026,23:05,6.7,7.0
28/01/2026,23:15,6.7,7.4
28/01/2026,23:20,8.0,8.3
28/01/2026,23:25,7.6,8.2
28/01/2026,23:30,5.7,6.5
28/01/2026,23:35,6.0,6.4
28/01/2026,23:40,6.3,6.5
28/01/2026,23:45,6.5,7.0
28/01/2026,23:50,7.5,7.9
28/01/2026,23:55,6.9,7.3
