DATE,TIME,WSPD,WD,GST,ATMP,STMP,DEPTH,BARO,VIS,SURGE,
27/10/2025,00:15,17.1,344,0.0,12.5,0.0,0.00,1005.2,0,0.0,
27/10/2025,00:25,17.9,344,19.8,12.5,0.0,0.00,1005.0,0,0.0,
27/10/2025,00:35,17.6,351,20.2,12.5,0.0,0.00,1005.1,0,0.0,
27/10/2025,00:45,15.6,352,17.4,12.7,0.0,0.00,1005.2,0,0.0,
27/10/2025,01:05,20.1,355,22.7,12.7,0.0,0.00,1005.0,0,0.0,
27/10/2025,01:55,15.1,353,17.1,12.7,0.0,0.00,1005.0,0,0.0,
27/10/2025,02:05,17.3,355,19.5,12.7,0.0,0.00,1005.2,0,0.0,
27/10/2025,02:15,19.5,000,21.9,12.6,0.0,0.00,1005.5,0,0.0,
27/10/2025,02:25,18.0,359,19.9,12.5,0.0,0.00,1005.5,0,0.0,
27/10/2025,02:35,16.4,000,18.0,12.4,0.0,0.00,1005.5,0,0.0,
27/10/2025,02:45,14.0,348,15.0,12.4,0.0,0.00,1005.6,0,0.0,
27/10/2025,03:05,18.4,357,21.0,12.2,0.0,0.00,1005.3,0,0.0,
27/10/2025,03:15,18.7,358,24.3,12.4,0.0,0.00,1005.4,0,0.0,
27/10/2025,03:25,20.2,000,20.9,12.4,0.0,0.00,1005.1,0,0.0,
27/10/2025,03:35,18.1,359,21.0,12.5,0.0,0.00,1005.3,0,0.0,
27/10/2025,03:45,17.0,001,19.6,12.6,0.0,0.00,1005.3,0,0.0,
27/10/2025,03:50,17.8,005,18.3,12.5,0.0,0.00,1005.3,0,0.0,
27/10/2025,03:55,17.4,358,19.3,12.3,0.0,0.00,1005.2,0,0.0,
27/10/2025,04:00,14.6,353,16.9,12.3,0.0,0.00,1005.4,0,0.0,
27/10/2025,04:10,14.4,357,17.0,12.2,0.0,0.00,1005.2,0,0.0,
27/10/2025,04:20,17.1,352,18.5,12.1,0.0,0.00,1005.3,0,0.0,
27/10/2025,04:35,15.5,349,18.0,12.1,0.0,0.00,1005.3,0,0.0,
27/10/2025,04:45,13.9,352,15.6,12.3,0.0,0.00,1005.5,0,0.0,
27/10/2025,04:55,14.5,352,17.6,12.0,0.0,0.00,1005.7,0,0.0,
27/10/2025,05:10,16.9,342,18.1,12.1,0.0,0.00,1005.4,0,0.0,
27/10/2025,05:20,14.5,354,15.5,12.0,0.0,0.00,1005.5,0,0.0,
27/10/2025,05:25,15.9,353,19.2,12.0,0.0,0.00,1005.7,0,0.0,
27/10/2025,05:30,15.4,352,17.5,11.9,0.0,0.00,1005.7,0,0.0,
27/10/2025,05:40,14.9,345,15.8,12.0,0.0,0.00,1005.5,0,0.0,
27/10/2025,05:45,17.0,347,19.9,11.9,0.0,0.00,1005.5,0,0.0,
27/10/2025,05:50,16.3,349,19.3,11.9,0.0,0.00,1005.4,0,0.0,
27/10/2025,06:25,17.0,344,18.4,11.7,0.0,0.00,1005.5,0,0.0,
27/10/2025,06:45,17.2,346,18.3,11.5,0.0,0.00,1005.9,0,0.0,
27/10/2025,06:55,14.2,356,16.8,11.5,0.0,0.00,1005.9,0,0.0,
27/10/2025,07:05,17.6,355,20.2,11.6,0.0,0.00,1006.1,0,0.0,
27/10/2025,07:15,17.3,356,18.8,11.4,0.0,0.00,1006.3,0,0.0,
27/10/2025,07:55,16.4,354,18.6,11.5,0.0,0.00,1007.0,0,0.0,
27/10/2025,08:45,15.6,006,18.2,12.0,0.0,0.00,1007.7,0,0.0,
27/10/2025,08:55,19.2,005,21.5,12.3,0.0,0.00,1007.9,0,0.0,
27/10/2025,09:05,13.4,358,19.6,12.2,0.0,0.00,1007.8,0,0.0,
27/10/2025,09:35,16.1,355,18.6,12.5,0.0,0.00,1007.7,0,0.0,
27/10/2025,09:55,17.3,009,21.9,12.8,0.0,0.00,1008.1,0,0.0,
27/10/2025,10:05,16.4,008,18.6,12.8,0.0,0.00,1008.5,0,0.0,
27/10/2025,10:15,18.9,007,20.6,12.8,0.0,0.00,1008.5,0,0.0,
27/10/2025,11:05,18.5,019,21.0,13.1,0.0,0.00,1009.3,0,0.0,
27/10/2025,11:15,22.3,004,23.2,13.1,0.0,0.00,1009.1,0,0.0,
27/10/2025,11:35,24.2,027,29.1,13.3,0.0,0.00,1009.5,0,0.0,
27/10/2025,12:15,20.9,020,23.4,13.6,0.0,0.00,1009.6,0,0.0,
27/10/2025,12:45,20.4,023,22.1,13.6,0.0,0.00,1010.0,0,0.0,
27/10/2025,12:50,16.8,012,19.8,13.6,0.0,0.00,1010.0,0,0.0,
27/10/2025,12:55,15.6,019,18.2,13.5,0.0,0.00,1010.2,0,0.0,
27/10/2025,13:30,19.0,018,19.9,13.7,0.0,0.00,1010.2,0,0.0,
27/10/2025,13:35,21.8,009,25.9,13.8,0.0,0.00,1010.2,0,0.0,
27/10/2025,13:40,19.4,015,21.4,13.8,0.0,0.00,1010.3,0,0.0,
27/10/2025,13:45,17.1,017,19.1,13.8,0.0,0.00,1010.2,0,0.0,
